name,stage,amount_raised,current_investors,investment_sector,geography,date,website,Funding Announcment,ctvc_link
Recycleye,Seed,4700000,Promus Ventures; Playfair Capital; Creator Fund; MMC,"Waste, Plastic & Recycling",UK,27-Sep-21,recycleye.com,https://www.recycling-magazine.com/2021/09/24/recycleye-raises-3-5m-seed-funding/?ref=ctvc.co,https://www.ctvc.co//breakthrough-catalyzes-climate-deployment/
Agtonomy,Seed,4000000,Grit Ventures; GV; Village Global,"Food, Agriculture & Forestry","San Francisco, CA",27-Sep-21,agtonomy.com,https://www.agtonomy.com/press/pressrelease?ref=ctvc.co,https://www.ctvc.co//breakthrough-catalyzes-climate-deployment/
Climatiq,pre-Seed,2000000,Cherry Ventures; angel investors,"Energy, Power & Storage",Germany,27-Sep-21,climatiq.io,https://www.eu-startups.com/2021/09/berlin-based-climatiq-raises-e1-7-million-to-grow-its-carbon-footprint-intelligence-platform/?ref=ctvc.co,https://www.ctvc.co//breakthrough-catalyzes-climate-deployment/
Electric Hydrogen,,,Energy Impact Partners,"Energy, Power & Storage","Boston, MA",27-Sep-21,eh2.com,https://www.prnewswire.com/news-releases/energy-impact-partners-invests-in-electric-hydrogen-to-decarbonize-industry-and-energy-301376895.html?ref=ctvc.co,https://www.ctvc.co//breakthrough-catalyzes-climate-deployment/
Octopus Energy Group,Undisclosed,600000000,Generation Investment Management,"Energy, Power & Storage",UK,04-Oct-21,octopusenergy.group,https://www.reuters.com/business/energy/uks-octopus-energy-group-agrees-deal-600-mln-additional-investment-2021-09-27/?ref=ctvc.co,https://www.ctvc.co//the-energy-crunch-goes-global/
Perfect Day,Series D,350000000,Temasek; CPPIB; Bob Iger,"Food, Agriculture & Forestry","Berkeley, CA",04-Oct-21,perfectday.com,https://www.wsj.com/articles/alternative-milk-company-perfect-day-raises-350-million-prepares-for-ipo-11632952800?ref=ctvc.co,https://www.ctvc.co//the-energy-crunch-goes-global/
Ola Electric,Undisclosed,200000000,Falcon Edge Capital; SoftBank,Transportation & Mobility,India,04-Oct-21,olaelectric.com,https://techcrunch.com/2021/09/30/ola-electric-raises-200-million-at-3-billion-valuation/?ref=ctvc.co,https://www.ctvc.co//the-energy-crunch-goes-global/
Semios,Undisclosed,100000000,Morningside Group,"Food, Agriculture & Forestry",Canada,04-Oct-21,semios.com,https://techcrunch.com/2021/09/29/climate-volatility-helps-agtech-platform-semios-raise-100m-round-led-by-morningside/?ref=ctvc.co,https://www.ctvc.co//the-energy-crunch-goes-global/
DroneSeed,Series A,36000000,Social Capital; Seven Seven Six; TIME Ventures; DBL Partners; Tobi Lütke,General Catalyst,"Seattle, WA",04-Oct-21,,https://insideunmannedsystems.com/droneseed-attracts-heavyweight-investors-to-its-funding-round/?ref=ctvc.co,https://www.ctvc.co//the-energy-crunch-goes-global/
New Age Meats,Series A,25000000,Hanwha Solutions; SOSV; TechU Ventures; ff VC; Siddhi Capital,"Food, Agriculture & Forestry","Berkeley, CA",04-Oct-21,,https://techcrunch.com/2021/09/27/new-age-meats-bites-into-25m-for-cultured-meat-product-line-development/?ref=ctvc.co,https://www.ctvc.co//the-energy-crunch-goes-global/
BluSmart,Series A,25000000,bp ventures; Mayfield India Fund; 9Unicorns; Survam Partners,Transportation & Mobility,India,04-Oct-21,blu-smart.com,https://economictimes.indiatimes.com/tech/funding/bp-leads-25-million-funding-round-in-ev-ride-hailing-startup-blusmart/articleshow/86639316.cms?ref=ctvc.co,https://www.ctvc.co//the-energy-crunch-goes-global/
Dance,Undisclosed,19400000,Eurazeo; HV Capital; BlueYard,Transportation & Mobility,Germany,04-Oct-21,dancestudio-pro.com,https://techcrunch.com/2021/09/27/dance-raises-another-19-4-million-for-its-e-bike-subscription-service/?ref=ctvc.co,https://www.ctvc.co//the-energy-crunch-goes-global/
ClimateView,Series A,11600000,CommerzVentures; NordicNinja; Norrsken; 2050.VC; Gaingles,Buildings,Sweden,04-Oct-21,climateviewer.org,https://www.siliconrepublic.com/start-ups/climateview-10m-series-a?ref=ctvc.co,https://www.ctvc.co//the-energy-crunch-goes-global/
Burro,Series A,10900000,S2G Ventures; Toyota Ventures; F-Prime Capital; Cibus Enterprise Fund,"Food, Agriculture & Forestry","Philadelphia, PA",04-Oct-21,burrow.com,https://techcrunch.com/2021/09/28/burro-raises-10-9m-for-autonomous-produce-field-transport/?ref=ctvc.co,https://www.ctvc.co//the-energy-crunch-goes-global/
Urbio,Pre-Seed,2000000,Wingman Ventures; Contrarian Ventures; Urban Us; David Helgason,Buildings,Switzerland,04-Oct-21,urbio-romania.ro,https://www.startupticker.ch/en/news/oversubscribed-usd-2m-pre-seed-round-boosts-urbio?ref=ctvc.co,https://www.ctvc.co//the-energy-crunch-goes-global/
Cheesecake Energy,Seed,1400000,The Imperial College Innovation Fund; Perivoli Innovations; angel investors,"Energy, Power & Storage",UK,04-Oct-21,cheesecakeenergy.com,https://www.finsmes.com/2021/09/cheesecake-energy-raises-1m-in-seed-funding.html?ref=ctvc.co,https://www.ctvc.co//the-energy-crunch-goes-global/
Enerpoly,Pre-Seed,475000,Sting Holding; angel investors,"Energy, Power & Storage",Sweden,04-Oct-21,enerpoly.com,https://enerpoly.com/enerpoly-raises-pre-seed-funding/?ref=ctvc.co,https://www.ctvc.co//the-energy-crunch-goes-global/
Ampd Energy,Series A,,2150; Tarongra Group,"Energy, Power & Storage",Hong Kong,04-Oct-21,ampd.energy,https://2150-vc.medium.com/investing-in-ampd-energy-to-electrify-the-construction-site-4b471dc2aeb8?ref=ctvc.co,https://www.ctvc.co//the-energy-crunch-goes-global/
Do Good Foods,Undisclosed,169000000,Nuveen,"Food, Agriculture & Forestry","Bedminister, NJ",11-Oct-21,dogoodfoods.com,https://dogoodfoods.com/do-good-foods-launches-game-changing-infrastructure/?ref=ctvc.co,https://www.ctvc.co//industrial-first-movers-will-buy/
Bolder Industries,Undisclosed,80000000,CIM Group; Aravaipa Ventures; Tauber Oil,"Waste, Plastic & Recycling","Boulder, CO",11-Oct-21,bolderindustries.com,https://finance.yahoo.com/news/bolder-industries-raises-80m-advance-110000797.html?ref=ctvc.co,https://www.ctvc.co//industrial-first-movers-will-buy/
Sunday,Series C,50000000,BOND; Sequoia Capital; Forerunner Ventures; Tusk Ventures,General Catalyst,"Denver, CO",11-Oct-21,sundaysocial.tv,https://www.forbes.com/sites/rebeccaszkutak/2021/10/04/sustainable-lawn-care-startup-sunday-nearly-triples-funding-with-50-million-series-c/?sh=1a50aa6b5d5f&ref=ctvc.co,https://www.ctvc.co//industrial-first-movers-will-buy/
Infinitum Electric,Series C,40000000,Energy Innovation Capital; Cottonwood Technology Fund; Chevron Technology Ventures; Ajax Strategies,"Energy, Power & Storage","Austin, TX",11-Oct-21,,https://www.infinitumelectric.com/infinitum-electric-raises-40-million-in-series-c-funding/?ref=ctvc.co,https://www.ctvc.co//industrial-first-movers-will-buy/
BeeHero,Series A,15000000,ADM Capital; Rabo Food & Agri Innovation Fund; iAngels; FirstTime; J-Ventures; UpWest; Entrée Capital; Good Company; the Arison Group; Gaingels,"Food, Agriculture & Forestry","Fresno, CA",11-Oct-21,beehero.io,https://techcrunch.com/2021/10/06/beeheros-precision-pollination-platform-wings-its-way-to-15m-in-new-funding/?ref=ctvc.co,https://www.ctvc.co//industrial-first-movers-will-buy/
CH4 Global,Series A,13000000,DCVC; DCVC Bio,"Energy, Power & Storage","Henderson, NV",11-Oct-21,chglobal.co.uk,https://www.businesswire.com/news/home/20211006005246/en/CH4-Global-Announces-US13M-Series-A-Funding-to-Accelerate-Its-Mission-to-Dramatically-Reduce-Manmade-Methane-Emissions?ref=ctvc.co,https://www.ctvc.co//industrial-first-movers-will-buy/
Normative,Undisclosed,12000000,2150; ETF Partners; Lowercarbon Capital; ByFounders; Luminar Ventures,General Catalyst,Sweden,11-Oct-21,normative.io,https://techcrunch.com/2021/10/06/tracking-co2-emissions-for-supply-chains-leads-normative-to-a-e10m-fund-raise/?ref=ctvc.co,https://www.ctvc.co//industrial-first-movers-will-buy/
CarbonBuilt,Series A,10000000,Neglected Climate Opportunities; Pritzker Group; Lime Street Ventures; Climate Capital; YouWeb Impact fund; Foundamental,Buildings,"Los Angeles, CA",11-Oct-21,carbonbuilt.com,https://labusinessjournal.com/news/2021/oct/06/carbonbuilt-raises-10m-series-funding-co2-concrete/?ref=ctvc.co,https://www.ctvc.co//industrial-first-movers-will-buy/
Delft IMP,Series A,11600000,Sandwater; Invest-NL,"Energy, Power & Storage",Netherlands,11-Oct-21,,https://www.tudelft.nl/en/2021/tnw/tnw-cheme/dutch-deep-tech-start-up-delft-imp-secures-eur10-million-series-a-funding-to-scale-up-technology-that-radically-extends-battery-life?ref=ctvc.co,https://www.ctvc.co//industrial-first-movers-will-buy/
Muon Space,Seed,10000000,Costanoa Ventures; Space Capital; Congruent VC; Ubiquity Ventures; South Park Commons; Climactic VC,"Energy, Power & Storage","Mountain View, CA",11-Oct-21,muonspace.com,https://news.satnews.com/2021/10/06/seed-financing-rewards-muon-space-with-million/?ref=ctvc.co,https://www.ctvc.co//industrial-first-movers-will-buy/
Energetic Insurance,Series A,7000000,Schneider Electric Ventures; MS&AD Ventures; MCJ Collective; Atlantic Global Risk; Congruent Ventures; SCOR P&C Ventures; MUUS Asset Management; Powerhouse Ventures; Clean Energy Venture Group,"Energy, Power & Storage","Boston, MA",11-Oct-21,energeticinsurance.com,https://www.reinsurancene.ws/msad-scor-back-energetic-insurance-series-a-funding-round/?ref=ctvc.co,https://www.ctvc.co//industrial-first-movers-will-buy/
Made of Air,Seed,5800000,TD Veen Tuesday Capital; EQT Group; numerous individual investors,"Waste, Plastic & Recycling",Germany,11-Oct-21,madeofair.com,https://techcrunch.com/2021/10/04/made-of-air-a-maker-of-carbon-negative-thermoplastics-locks-in-5-8m/?ref=ctvc.co,https://www.ctvc.co//industrial-first-movers-will-buy/
PathZero,Series A,5000000,Carthona Capital; Antler Australia; others,"Energy, Power & Storage",Australia,11-Oct-21,pathzero.com,https://www.prnewswire.com/news-releases/pathzero-raises-us5m-to-bring-carbon-transparency-to-global-investment-portfolios-301392504.html?ref=ctvc.co,https://www.ctvc.co//industrial-first-movers-will-buy/
AM Batteries,Seed,3000000,TDK Ventures; Foothill Ventures,"Energy, Power & Storage","Boston, MA",11-Oct-21,,https://finance.yahoo.com/news/tdk-ventures-invests-seed-round-140000982.html?ref=ctvc.co,https://www.ctvc.co//industrial-first-movers-will-buy/
Continuum Ag,Pre-Seed,200000,Clean Energy Trust,"Food, Agriculture & Forestry","Washington, IA",11-Oct-21,continuumag.com,https://www.cleanenergytrust.org/continuum-ag-receives-pre-seed-funding/?ref=ctvc.co,https://www.ctvc.co//industrial-first-movers-will-buy/
GoodLeap,Undisclosed,800000000,MSD Partners; BDT Capital Partners; Davidson Kempner,"Energy, Power & Storage","Bay Area, CA",18-Oct-21,goodleap.com,https://www.bloomberg.com/news/articles/2021-10-13/goodleap-gets-800-million-funding-for-sustainable-home-push?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
Universal Hydrogen,Undisclosed,62000000,Mitsubishi HC Capital; Tencent; Stratos; GE Aviation; Waltzing Matilda Aviation; Fourth Realm; Hawktail; TIME Ventures; Jeff Wilke; 75 & Sunny Ventures,"Energy, Power & Storage","Los Angeles, CA",18-Oct-21,hydrogen.aero,https://www.businesswire.com/news/home/20211014005399/en/Universal-Hydrogen-Secures-Additional-62-Million-in-Financing-to-Accelerate-First-Test-Flight-of-Hydrogen-Powered-Regional-Aircraft-to-2022?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
Zest Eco,Undisclosed,41200000,Zouk Capital,"Energy, Power & Storage",UK,18-Oct-21,zeste.coop,https://www.uktech.news/news/uk-ev-charging-startup-zest-funding-20211012?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
Leap,Series B,33500000,Park West Asset Management; Foobar; Climate Capital; My Climate Journey; Union Square Ventures; Congruent Ventures; National Grid Partners,"Energy, Power & Storage","San Francisco, CA",18-Oct-21,leapsome.com,https://www.businesswire.com/news/home/20211013005100/en/Leap-Secures-33.5-Million-to-Scale-Its-Next-Gen-Energy-Market-Access-Platform?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
AiDash,Series B,27000000,G2 Venture Partners; BGV; National Grid Partners,"Energy, Power & Storage","Santa Clara, CA",18-Oct-21,aidash.com,https://www.businesswire.com/news/home/20211014005786/en/AiDash-Secures-27M-in-Series-B-Funding-to-Prevent-Wildfires-and-Power-Outages-With-AI-Powered-Satellite-Technology?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
WattBuy,Series A,10000000,SE Ventures; MCJ Collective; Evergy Ventures; Updater; Powerhouse Ventures; Techstars Ventures; Avesta Fund; Yoav Lurie,"Energy, Power & Storage","New York City, NY",18-Oct-21,wattbuy.com,https://www.businesswire.com/news/home/20211012005375/en/WattBuy-Secures-10-Million-to-Drive-Clean-Energy-Innovation?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
Pani Energy,Seed,8000000,Blue Bear Capital; Blue Coast; Mazarine Ventures; Humanitas; SDTC,"Energy, Power & Storage","Vancouver, BC",18-Oct-21,,https://www.prnewswire.com/news-releases/pani-secures-8m-to-scale-up-ai-solution-improving-water-and-energy-efficiency-in-water-treatment-facilities-301400419.html?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
Seenons,Seed,7000000,Tablomonto; Capital T,"Waste, Plastic & Recycling",Amsterdam,18-Oct-21,seenons.com,https://siliconcanals.com/crowdfunding/seenons-raises-6m/?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
Ion Mobility,Seed,6800000,TNB Aura; Quest Ventures; GDP Venture; Monk’s Hill Ventures; Seeds Capital; 500 Southeast Asia,Transportation & Mobility,Singapore,18-Oct-21,ionmobility.com,https://www.techinasia.com/singapore-ev-maker-ion-mobility-charges-up-68m-seed-funding?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
RatedPower,Series A,6000000,Seaya Ventures,"Energy, Power & Storage",Spain,18-Oct-21,ratedpower.com,https://ratedpower.com/blog/6m-series-a/?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
TrustTrace,Undisclosed,6000000,Industrifonden; Fairpoint Capital; BackingMinds; Fashion for Good,General Catalyst,Sweden,18-Oct-21,,https://www.businesswire.com/news/home/20211014005112/en/TrusTrace-Closes-6-Million-Series-A-Investment-to-Create-More-Sustainable-Transparent-Supply-Chains-for-Global-Brands?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
Tynt Technologies,Seed,5500000,Starlight Ventures; Prime Impact Fund; Kompas Ventures,Buildings,"Boulder, CO",18-Oct-21,tynt.io,https://www.prnewswire.com/news-releases/tynt-technologies-secures-8-5-million-in-seed-funding-for-groundbreaking-technology-behind-blackout-dynamic-windows-301398942.html?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
Agreena,Seed,4500000,Giant Ventures; Danish Green Future Fund,"Food, Agriculture & Forestry",Netherlands,18-Oct-21,agreena.com,https://techcrunch.com/2021/10/14/agreena-a-regenerative-farming-carbon-market-raises-4-7m-seed-from-giant-vc/?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
Grounded Foods,Pre-seed,2500000,Big Idea Ventures; Stray Dog Capital; Route 66 Ventures; Nucleus Capital; Kale United; Presight Capital,"Food, Agriculture & Forestry","Los Angeles, CA",18-Oct-21,groundedfoods.com,https://www.foodbusinessnews.net/articles/19828-grounded-foods-raises-25-million-in-pre-series-a-funding?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
Grunfin,Seed,2300000,Norrsken VC; Angel investors,Other,Estonia,18-Oct-21,grunfin.com,https://estvca.ee/news/grunfin-raises-eu2m-for-its-new-sustainable-investing-platform-with-superangel-and-united-angels-also?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
RepAir Carbon,Seed,1500000,Counteract; ESIL; Consensus Business Group; ImpactAssets; Other investors,"Energy, Power & Storage",Israel,18-Oct-21,repair-carbon.com,https://techcrunch.com/2021/10/06/repair-carbon-realised-fuel-cell-tech-could-be-applied-to-co2-capture-now-they-plan-to-scale/?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
Enosi Energy,Seed,1500000,ReNu Energy; Energy Estate; Artesian Clean Energy Seed Fund,"Energy, Power & Storage",Australia,18-Oct-21,enosi.energy,https://www.pv-magazine-australia.com/press-releases/energy-traceability-cleantech-enosi-closes-1-48-million-capital-raise/?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
Aspiring Materials,Pre-seed,1000000,Icehouse Ventures; Outset Ventures,"Energy, Power & Storage",New Zealand,18-Oct-21,aspiringmaterials.com,https://www.startupdaily.net/2021/10/kiwi-carbon-capture-startup-aspiring-materials-raises-1-million-seed-round/?ref=ctvc.co,https://www.ctvc.co//google-searches-for-a-lower-carbon-future/
Enpal,Series C,174000000,Softbank Vision Fund II,"Energy, Power & Storage",Germany,25-Oct-21,enpal.de,https://techcrunch.com/2021/10/17/enpal-closes-out-series-c-with-174m-from-softbank-for-tech-to-make-it-easier-for-homeowners-to-make-the-switch-to-solar-energy/?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
Sunfire,Series D,125000000,Lightrock; Planet First Partners; Carbon Direct; HydrogenOne Capital; existing shareholders,"Energy, Power & Storage",Germany,25-Oct-21,sunfireinc.com,https://www.sunfire.de/en/news/detail/sunfire-secures-landmark-investment-to-accelerate-growth-of-its-green-hydrogen-technologies?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
Saildrone,Series C,100000000,BOND; XN; Standard Investments; Emerson Collective; Crowley Maritime Corporation,Transportation & Mobility,"Alameda, CA",25-Oct-21,saildrone.com,https://techcrunch.com/2021/10/18/saildrone-catches-a-100m-c-breeze-to-build-more-robo-boats/?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
Autogrid,Series D,85000000,SE Ventures; Moore Strategic Ventures; SolarEdge Technologies; Microsoft Climate Innovation Fund; GS Futures; National Grid Partners; Shell Ventures; Total Carbon Neutrality Ventures,"Energy, Power & Storage","Redwood City, CA",25-Oct-21,auto-grid.com,https://www.finsmes.com/2021/10/autogrid-systems-raises-85m-in-series-d-2-funding.html?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
Via Separations,Series B,38000000,NGP ETP; 2040 Foundation; The Engine; Safar Partners; Prime Impact Fund; Embark Ventures; Massachusetts Clean Energy Center,Industrial Processes & Management,"Watertown, MA",25-Oct-21,viaseparations.com,https://techcrunch.com/2021/10/21/mit-spinoff-via-separations-scores-38m-series-b-to-decarbonize-manufacturing/?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
Carbon Capture,Series A,35000000,Prime Movers Lab; Rio Tinto; Idealab Studio; Idealab X; Marc Benioff’s TIME Ventures,Other: CCUS,"Pasadena, CA",25-Oct-21,us-ccs.com,https://www.finsmes.com/2021/10/carbon-capture-closes-35m-series-a-funding.html?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
H3 Dynamics,Series B,26000000,Japan’s Mirai Creation Fund; SPARX Asset Management; Sumitomo Mitsui Banking; others,"Energy, Power & Storage",Singapore,25-Oct-21,h3dynamics.com,https://www.suasnews.com/2021/10/h3-dynamics-closes-us26-million-series-b-to-accelerate-autonomous-drone-data-services-and-hydrogen-air-logistics/?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
Our Next Energy,Series A,25000000,Breakthrough Energy Ventures; Assembly Ventures; BMW i Ventures; Flex; Volta Energy Technologies,"Energy, Power & Storage","Novi, Michigan",25-Oct-21,one.ai,https://techcrunch.com/2021/10/18/our-next-energy-closes-25m-series-a-for-battery-tech-with-backing-from-bill-gates-bmw/?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
BIOMILQ,Series A,21000000,Novo Holdings; Breakthrough Energy Ventures; Blue Horizon Ventures; Spero Ventures; Digitalis Ventures; Green Generation Fund; Alexandria; Gaingels,"Food, Agriculture & Forestry","Durham, NC",25-Oct-21,biomilq.com,https://www.newsobserver.com/news/business/article255117162.html?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
pulsESG,Seed,8500000,FINTOP Capital; Aligned Climate Capital; SOMPO Holdings; Builders VC; eLab Ventures; individual investors,General Catalyst,"San Francisco, CA",25-Oct-21,pulsesg.com,https://www.businesswire.com/news/home/20211020005350/en/Silicon-Valley-Veterans-Launch-pulsESG%E2%84%A2%E2%80%94an-Integrated-SaaS-Platform-for-Enterprise-ESG-Analysis-with-8.5M-in-Seed-Funding-from-Impact-Driven-Investors?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
Beem Energy,Series A,8200000,360 Capital; Bpifrance; BNP Paribas Développement; Alter Equity,"Energy, Power & Storage",France,25-Oct-21,beemenergy.fr,https://www.360cap.vc/beemenergy-announces-7me-series-a-to-enable-consumers-to-take-control-of-their-home-energy/?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
Ando,Seed,6000000,TTV Capital; HOF Capital; Kinetic Ventures; NNS Group,General Catalyst,"San Diego, CA",25-Oct-21,andover.edu,https://www.finsmes.com/2021/10/ando-raises-6m-in-seed-funding.html?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
STABL Energy,Seed,5200000,Smart Energy Innovation Fund of Energie 360°; Initiative for Industrial Innovators; others,"Energy, Power & Storage",Germany,25-Oct-21,stabl.com,https://www.uvcpartners.com/blog/stabl-energy-announces-closing-of-eu4-5m-seed-investment?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
Pledge,Seed,4500000,Visionaries Club; Lowercarbon Capital; Zinal Growth,General Catalyst,London,25-Oct-21,pledge.to,https://techcrunch.com/2021/10/22/pledge-raises-4-5m-seed-round-to-build-a-carbon-measurement-and-removal-api/?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
Vertical Oceans,Seed,3500000,Khosla Ventures; SOSV,"Food, Agriculture & Forestry",Singapore,25-Oct-21,verticaloceans.blue,https://techcrunch.com/2021/10/19/vertical-oceans-aims-to-grow-sustainable-shrimp-in-huge-aqua-towers-inside-cities/?tpcc=tcplustwitter&ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
Novalith,Seed,2500000,Clean Energy Finance Corporation,"Energy, Power & Storage",Australia,25-Oct-21,novalith.com.au,https://reneweconomy.com.au/australian-low-carbon-lithium-processing-tech-aims-for-sustainable-battery-market/?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
Sensoneo,Seed,2300000,EIC Fund; Venture to Future Fund,"Waste, Plastic & Recycling",Slovakia,25-Oct-21,sensoneo.com,https://www.finsmes.com/2021/10/sensoneo-raises-e2m-in-funding.html?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
EnergyBank,Seed,1900000,Icehouse Ventures; Blackbird; Promus Ventures; Version One; Nuance Connected Capital,"Energy, Power & Storage",New Zealand,25-Oct-21,energy-bank.co,https://versionone.vc/announcing-energybank/?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
Carbon RE,Seed,1400000,Clean Growth Fund; UCL Technology Fund; Portico Ventures; University of Cambridge Enterprise Fund; Blue Impact Ventures,Other,UK,25-Oct-21,carbonreporter.com,https://www.carbonre.tech/carbon-re-press-release/?ref=ctvc.co,https://www.ctvc.co//cop26-expectations-dither/
ProLogium Technology,Undisclosed,326000000,dGav Capital; Primavera Capital; SB China Venture Capital; Others,"Energy, Power & Storage",Taiwan,01-Nov-21,prologium.com,https://www.prnewswire.com/news-releases/prologium-technology-secures-us326-million-to-expand-global-ev-battery-production-capacity-301410808.html?ref=ctvc.co,https://www.ctvc.co//555b-marked-for-climate-in-bbb-funding/
Tier Mobility,Series D,200000000,SoftBank Vision Fund 2; Mubadala Capital; RTP Global; Novator; White Star Capital; Northzone; Speedinvest,Transportation & Mobility,Germany,01-Nov-21,tier.app,https://techcrunch.com/2021/10/25/tier-scoots-off-with-first-close-of-its-200m-series-d/?tpcc=nltermsheet&ref=ctvc.co,https://www.ctvc.co//555b-marked-for-climate-in-bbb-funding/
Rad Power Bikes,Series D,154000000,Fidelity Management & Research; T. Rowe Price; Counterpoint Global; Vulcan Capital; Durable Capital Partners LP; TPG’s The Rise Fund,Transportation & Mobility,"Seattle, WA",01-Nov-21,radpowerbikes.com,https://techcrunch.com/2021/10/28/rad-power-bikes-raises-154m-series-d/?ref=ctvc.co,https://www.ctvc.co//555b-marked-for-climate-in-bbb-funding/
Persefoni,Series B,101000000,Prelude Ventures; TPG’s The Rise Fund; Clearvision Ventures; Parkway Ventures; Bain & Co; Électricité de France; Sumitomo Mitsui Banking Corporation; The Ferrante Group; Alumni Ventures Group; New Valley Ventures; NGP Energy Technology Partners; Sallyport Investments,"Buildings; Energy, Power & Storage; Waste, Plastic & Recycling; Food, Agriculture & Forestry; Industrial Processes & Management; Transportation & Mobility; General Catalyst; Other; Other: CCUS","Tempe, AZ",01-Nov-21,persefoni.com,https://www.prnewswire.com/news-releases/climatetech-startup-persefoni-raises-9-7m-in-series-a-funding-round-301269315.html?ref=ctvc.co,https://www.ctvc.co//555b-marked-for-climate-in-bbb-funding/
Infinium,Undisclosed,69000000,Amazon’s Climate Pledge Fund; NextEra Energy Resources; AP Ventures; 8090 Partners; Mitsubishi Heavy Industries; Pavilion Capital,"Energy, Power & Storage","Sacramento, CA",01-Nov-21,infiniumglobalresearch.com,https://www.businesswire.com/news/home/20211027005100/en/Electrofuels-Innovator-Infinium-Announces-69M-in-New-Funding-to-Accelerate-Production-of-Groundbreaking-Ultra-Low-Carbon-Fuels-for-the-Transportation-Industry?ref=ctvc.co,https://www.ctvc.co//555b-marked-for-climate-in-bbb-funding/
Daring Foods,Series C,65000000,Founders Fund; D1 Capital Group; Naomi Osaka; Cameron Newton; Steve Aoki; Chase Coleman,"Food, Agriculture & Forestry","Los Angeles, California",01-Nov-21,,https://techcrunch.com/2021/10/27/daring-foods-bites-into-third-round-in-12-months-as-plant-based-chicken-product-enters-walmart/?ref=ctvc.co,https://www.ctvc.co//555b-marked-for-climate-in-bbb-funding/
Sun Mobility,Undisclosed,50000000,Vitol,"Energy, Power & Storage",India,01-Nov-21,sunmobility.com,https://economictimes.indiatimes.com/tech/funding/sun-mobility-raises-50-million-from-vitol/articleshow/87153478.cms?ref=ctvc.co,https://www.ctvc.co//555b-marked-for-climate-in-bbb-funding/
Kebony,Undisclosed,35000000,Jolt Capital; Lightrock Goran; MVP; FPIM; PMV; Investinor,Buildings,Norway,01-Nov-21,kebony.com,https://www.prnewswire.com/news-releases/kebony-raises-eur-30-million-in-funding-round-led-by-jolt-capital-and-lightrock-301409941.html?ref=ctvc.co,https://www.ctvc.co//555b-marked-for-climate-in-bbb-funding/
BrainBox AI,Series A,24000000,ABB; Esplanade Venturesm; Desjardins Capital,Buildings,Canada,01-Nov-21,brainboxai.com,https://www.prnewswire.com/news-releases/brainbox-ai-raises-24m-usd-in-first-close-of-its-series-a-funding-round-to-fuel-continued-global-expansion-and-innovation-301410547.html?ref=ctvc.co,https://www.ctvc.co//555b-marked-for-climate-in-bbb-funding/
